DOF,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10
x_t,1.0,2.497793021904749e-17,-5.771615080562422e-17,-0.024179463444810544,1.0386602381564139e-15,-2.0682608264544067e-16,0.0014729386497119405,4.47238713267524e-17,-6.852956494592063e-17,0.01251416858227766
q_b0_m0,0.614163593317105,-0.03557872845387994,1.0,0.9999999999999948,-4.656231732328032e-15,8.741439667875801e-16,-0.006600158803293105,1.550513746185754e-16,1.4123498789230972e-16,-0.03712288220957299
q_b0_m1,-0.009861032331779485,4.981500655007376e-16,7.389668635483555e-18,0.002218681524861891,1.0,-0.2072449486566267,0.9999999999999997,4.129257416883681e-17,2.0112440341699297e-16,0.002004757127365238
q_b0_m2,-0.07828000386274851,1.3391613156118576e-18,-1.580896525092787e-16,0.01194950860910635,-1.2948519033771334e-15,5.230824941704819e-16,-0.0020210949133633144,1.0,-0.190750141606468,1.0
q_b1_m0,0.6141635933171049,-0.9644212715461229,-0.4954052997205003,0.9999999999999997,-5.0007172542776655e-15,1.0108347169234123e-15,-0.00660015880329309,-2.363550020122403e-16,2.320622056439356e-16,-0.03712288220957284
q_b1_m1,-0.009861032331779486,-2.478949373296843e-16,-6.525101884189404e-18,0.0022186815248618915,-0.49999999999894534,-0.7927550513437971,1.0,1.24544639138714e-16,-6.242844285631064e-17,0.002004757127365144
q_b1_m2,-0.07828000386274851,-2.1923334104895706e-17,1.1095936854147864e-16,0.011949508609106322,-1.6958343064920424e-15,2.9713023882318496e-16,-0.0020210949133631943,-0.49999999999999817,1.0,1.0
q_b2_m0,0.6141635933171049,1.0,-0.5045947002794926,1.0,-4.375116444441112e-15,8.608003303583865e-16,-0.00660015880329309,-1.6324701647713483e-16,2.1263048210705544e-16,-0.037122882209572834
q_b2_m1,-0.009861032331779486,-2.6370227458586864e-16,6.431212979454059e-19,0.0022186815248618915,-0.49999999999893346,1.0,1.0,-7.941878283426106e-17,-3.547506225799858e-18,0.002004757127365144
q_b2_m2,-0.07828000386274851,-1.3501427306793062e-17,1.1095936838516314e-16,0.011949508609106322,-1.831808302043002e-15,3.553063544266867e-16,-0.0020210949133631943,-0.4999999999999912,-0.8092498583935485,1.0
