DOF,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10
x_t,1.0,0.0,-0.0,-0.024,0.0,-0.0,0.001,0.0,-0.0,0.013
q_b0_m0,0.614,-0.036,1.0,1.0,-0.0,0.0,-0.007,0.0,0.0,-0.037
q_b0_m1,-0.01,0.0,0.0,0.002,1.0,-0.207,1.0,0.0,0.0,0.002
q_b0_m2,-0.078,0.0,-0.0,0.012,-0.0,0.0,-0.002,1.0,-0.191,1.0
q_b1_m0,0.614,-0.964,-0.495,1.0,-0.0,0.0,-0.007,-0.0,0.0,-0.037
q_b1_m1,-0.01,-0.0,-0.0,0.002,-0.5,-0.793,1.0,0.0,-0.0,0.002
q_b1_m2,-0.078,-0.0,0.0,0.012,-0.0,0.0,-0.002,-0.5,1.0,1.0
q_b2_m0,0.614,1.0,-0.505,1.0,-0.0,0.0,-0.007,-0.0,0.0,-0.037
q_b2_m1,-0.01,-0.0,0.0,0.002,-0.5,1.0,1.0,-0.0,-0.0,0.002
q_b2_m2,-0.078,-0.0,0.0,0.012,-0.0,0.0,-0.002,-0.5,-0.809,1.0
